sra:SRR1706563	SRP051076-SRR1706563
sra:SRR1706564	SRP051076-SRR1706564
sra:SRR1706565	SRP051076-SRR1706565
sra:SRR1811589	SRP055201-SRR1811589
sra:SRR1811590	SRP055201-SRR1811590
sra:SRR1811591	SRP055201-SRR1811591
sra:SRR1811592	SRP055201-SRR1811592
sra:SRR1811593	SRP055201-SRR1811593
sra:SRR1811594	SRP055201-SRR1811594
sra:SRR1811595	SRP055201-SRR1811595
sra:SRR1811596	SRP055201-SRR1811596
sra:SRR1811597	SRP055201-SRR1811597
sra:SRR1811598	SRP055201-SRR1811598
sra:SRR1811599	SRP055201-SRR1811599
sra:SRR1811600	SRP055201-SRR1811600
sra:SRR1811601	SRP055201-SRR1811601
sra:SRR1811602	SRP055201-SRR1811602
sra:SRR1811603	SRP055201-SRR1811603
sra:SRR1811604	SRP055201-SRR1811604
sra:SRR1811605	SRP055201-SRR1811605
sra:SRR1811606	SRP055201-SRR1811606
sra:SRR1811607	SRP055201-SRR1811607
sra:SRR1811608	SRP055201-SRR1811608
sra:SRR1811609	SRP055201-SRR1811609
sra:SRR1811610	SRP055201-SRR1811610
sra:SRR1811611	SRP055201-SRR1811611
sra:SRR1811612	SRP055201-SRR1811612
sra:SRR5061281	SRP094068-SRR5061281
sra:SRR5061282	SRP094068-SRR5061282
sra:SRR5061283	SRP094068-SRR5061283
sra:SRR5061284	SRP094068-SRR5061284
sra:SRR5061285	SRP094068-SRR5061285
sra:SRR5061286	SRP094068-SRR5061286
sra:SRR5061287	SRP094068-SRR5061287
sra:SRR5061288	SRP094068-SRR5061288
sra:SRR5061289	SRP094068-SRR5061289
sra:SRR5061290	SRP094068-SRR5061290
sra:SRR5061291	SRP094068-SRR5061291
sra:SRR5061292	SRP094068-SRR5061292
sra:SRR5061293	SRP094068-SRR5061293
sra:SRR5061294	SRP094068-SRR5061294
sra:SRR5061295	SRP094068-SRR5061295
sra:SRR5061296	SRP094068-SRR5061296
sra:SRR5061297	SRP094068-SRR5061297
sra:SRR5061298	SRP094068-SRR5061298
sra:SRR5061299	SRP094068-SRR5061299
sra:SRR5061300	SRP094068-SRR5061300
sra:SRR5061301	SRP094068-SRR5061301
sra:SRR5061302	SRP094068-SRR5061302
sra:SRR5061303	SRP094068-SRR5061303
sra:SRR5061304	SRP094068-SRR5061304
sra:SRR5061305	SRP094068-SRR5061305
sra:SRR5061306	SRP094068-SRR5061306
sra:SRR5061307	SRP094068-SRR5061307
sra:SRR5061308	SRP094068-SRR5061308
sra:SRR5061309	SRP094068-SRR5061309
sra:SRR5061310	SRP094068-SRR5061310
sra:SRR5061311	SRP094068-SRR5061311
sra:SRR5061312	SRP094068-SRR5061312
sra:SRR5061313	SRP094068-SRR5061313
sra:SRR5061314	SRP094068-SRR5061314
sra:SRR5061315	SRP094068-SRR5061315
sra:SRR1574329	SRP047079-SRR1574329
sra:SRR1574330	SRP047079-SRR1574330
sra:SRR1574333	SRP047079-SRR1574333
sra:SRR1574334	SRP047079-SRR1574334
sra:SRR2936836	SRP065767-SRR2936836
sra:SRR2936837	SRP065767-SRR2936837
sra:SRR2936838	SRP065767-SRR2936838
sra:SRR2936839	SRP065767-SRR2936839
sra:SRR2936840	SRP065767-SRR2936840
sra:SRR2936841	SRP065767-SRR2936841
sra:SRR2936842	SRP065767-SRR2936842
sra:SRR2936843	SRP065767-SRR2936843
sra:SRR2936844	SRP065767-SRR2936844
sra:SRR2936845	SRP065767-SRR2936845
sra:SRR2936846	SRP065767-SRR2936846
sra:SRR2936847	SRP065767-SRR2936847
sra:SRR2936848	SRP065767-SRR2936848
sra:SRR2936849	SRP065767-SRR2936849
sra:SRR2936850	SRP065767-SRR2936850
sra:SRR2936851	SRP065767-SRR2936851
sra:SRR3901907	SRP078457-SRR3901907
sra:SRR3901908	SRP078457-SRR3901908
sra:SRR3901913	SRP078457-SRR3901913
sra:SRR3901914	SRP078457-SRR3901914
sra:SRR3901915	SRP078457-SRR3901915
sra:SRR3901916	SRP078457-SRR3901916
sra:SRR3902076	SRP078458-SRR3902076
sra:SRR3902077	SRP078458-SRR3902077
sra:SRR3902078	SRP078458-SRR3902078
sra:SRR3902079	SRP078458-SRR3902079
sra:SRR3902080	SRP078458-SRR3902080
sra:SRR3902081	SRP078458-SRR3902081
sra:SRR3902082	SRP078458-SRR3902082
sra:SRR3902083	SRP078458-SRR3902083
sra:SRR3902084	SRP078458-SRR3902084
sra:SRR3902085	SRP078458-SRR3902085
sra:SRR3902086	SRP078458-SRR3902086
sra:SRR3902087	SRP078458-SRR3902087
sra:SRR3902088	SRP078458-SRR3902088
sra:SRR3902089	SRP078458-SRR3902089
sra:SRR3902090	SRP078458-SRR3902090
sra:SRR3902091	SRP078458-SRR3902091
sra:SRR1291248	SRP042078-SRR1291248
sra:SRR1291249	SRP042078-SRR1291249
sra:SRR1291250	SRP042078-SRR1291250
sra:SRR1291251	SRP042078-SRR1291251
sra:SRR1291252	SRP042078-SRR1291252
sra:SRR1291253	SRP042078-SRR1291253
sra:SRR1291254	SRP042078-SRR1291254
sra:SRR1291255	SRP042078-SRR1291255
sra:SRR1291256	SRP042078-SRR1291256
sra:SRR1291257	SRP042078-SRR1291257
sra:SRR5590221	SRP107891-SRR5590221
sra:SRR5590218	SRP107891-SRR5590218
sra:SRR5590220	SRP107891-SRR5590220
sra:SRR5590219	SRP107891-SRR5590219
sra:SRR5242718	SRP099194-SRR5242718
sra:SRR5242719	SRP099194-SRR5242719
